Item Name,Count,Last Updated,Worlds
Craftsman's Command Materia XI,8,2025-05-07 07:33 AM,"Goblin, Lamia, Jenova, Gilgamesh, Faerie, Adamantoise, Exodus, Behemoth"
Everseeker's Claw Hammer,8,2025-05-07 07:36 AM,"Brynhildr, Diabolos, Malboro, Zalera, Gilgamesh, Faerie, Famfrit, Siren"
Everseeker's Saw,8,2025-05-07 07:37 AM,"Coeurl, Diabolos, Goblin, Malboro, Gilgamesh, Faerie, Famfrit, Siren"
Gatherer's Guile Materia XI,8,2025-05-07 07:37 AM,"Balmung, Malboro, Mateus, Jenova, Gilgamesh, Faerie, Exodus, Midgardsormr"
Grade 3 Gemdraught of Dexterity,8,2025-05-07 07:36 AM,"Diabolos, Jenova, Ultros, Gilgamesh, Faerie, Exodus, Midgardsormr, Excalibur"
Grade 3 Gemdraught of Intelligence,8,2025-05-07 07:37 AM,"Diabolos, Malboro, Zalera, Ultros, Faerie, Exodus, Midgardsormr, Excalibur"
Grade 3 Gemdraught of Strength,8,2025-05-07 07:34 AM,"Malboro, Zalera, Ultros, Gilgamesh, Faerie, Midgardsormr, Excalibur, Sargatanas"
Heavens' Eye Materia XII,8,2025-05-07 07:34 AM,"Brynhildr, Diabolos, Goblin, Malboro, Leviathan, Exodus, Excalibur, Siren"
Ovibos Milk,8,2025-05-07 07:34 AM,"Diabolos, Goblin, Malboro, Zalera, Ultros, Gilgamesh, Behemoth, Midgardsormr"
Piety Materia XI,8,2025-05-07 07:37 AM,"Brynhildr, Diabolos, Goblin, Malboro, Mateus, Faerie, Cactuar, Excalibur"
Rroneek Fleece,8,2025-05-07 07:36 AM,"Malboro, Mateus, Zalera, Lamia, Jenova, Gilgamesh, Exodus, Famfrit"
Savage Aim Materia XI,8,2025-05-07 07:32 AM,"Brynhildr, Diabolos, Goblin, Zalera, Faerie, Exodus, Midgardsormr, Excalibur"
Savage Aim Materia XII,8,2025-05-07 07:35 AM,"Diabolos, Goblin, Zalera, Ultros, Exodus, Midgardsormr, Excalibur, Siren"
Thunderyards Silk,8,2025-05-07 07:36 AM,"Brynhildr, Goblin, Mateus, Zalera, Lamia, Gilgamesh, Cactuar, Excalibur"
Wind Parsley,8,2025-05-07 07:37 AM,"Goblin, Malboro, Mateus, Zalera, Leviathan, Gilgamesh, Midgardsormr, Excalibur"
Battledance Materia XII,7,2025-05-07 07:32 AM,"Goblin, Malboro, Zalera, Lamia, Ultros, Gilgamesh, Faerie"
Craftsman's Cunning Materia XI,7,2025-05-07 07:36 AM,"Diabolos, Malboro, Ultros, Gilgamesh, Faerie, Adamantoise, Exodus"
Cunning Craftsman's Tisane,7,2025-05-07 07:36 AM,"Diabolos, Malboro, Mateus, Jenova, Faerie, Exodus, Cactuar"
Everseeker's Spinning Wheel,7,2025-05-07 07:35 AM,"Brynhildr, Diabolos, Zalera, Hyperion, Gilgamesh, Famfrit, Siren"
Gatherer's Guerdon Materia X,7,2025-05-07 07:37 AM,"Brynhildr, Malboro, Zalera, Jenova, Gilgamesh, Midgardsormr, Cactuar"
Heavens' Eye Materia XI,7,2025-05-07 07:36 AM,"Brynhildr, Goblin, Malboro, Zalera, Faerie, Excalibur, Siren"
Lightning Cluster,7,2025-05-07 07:35 AM,"Brynhildr, Balmung, Coeurl, Diabolos, Zalera, Gilgamesh, Adamantoise"
Ra'Kaznar Ingot,7,2025-05-07 07:35 AM,"Coeurl, Malboro, Ultros, Gilgamesh, Cactuar, Excalibur, Sargatanas"
Rroneek Serge,7,2025-05-07 07:34 AM,"Brynhildr, Diabolos, Goblin, Malboro, Gilgamesh, Adamantoise, Siren"
Sanctified Water,7,2025-05-07 07:35 AM,"Balmung, Coeurl, Malboro, Leviathan, Hyperion, Gilgamesh, Cactuar"
Savage Might Materia XII,7,2025-05-07 07:33 AM,"Balmung, Coeurl, Diabolos, Goblin, Gilgamesh, Excalibur, Siren"
Sterling Silver Ingot,7,2025-05-07 07:34 AM,"Brynhildr, Diabolos, Goblin, Ultros, Midgardsormr, Excalibur, Sargatanas"
Titanium Gold Ore,7,2025-05-07 07:34 AM,"Goblin, Jenova, Hyperion, Gilgamesh, Cactuar, Excalibur, Sargatanas"
Aurum Regis Nugget,6,2025-05-07 07:36 AM,"Brynhildr, Zalera, Lamia, Jenova, Behemoth, Midgardsormr"
Beech Lumber,6,2025-05-07 07:35 AM,"Brynhildr, Balmung, Lamia, Jenova, Faerie, Siren"
Ceremonial Gunblade,6,2025-05-07 07:34 AM,"Diabolos, Mateus, Hyperion, Behemoth, Famfrit, Siren"
Ceremonial Hood of Casting,6,2025-05-07 07:34 AM,"Coeurl, Goblin, Mateus, Midgardsormr, Famfrit, Siren"
Ceremonial Longcap of Fending,6,2025-05-07 07:32 AM,"Mateus, Zalera, Ultros, Midgardsormr, Famfrit, Siren"
Ceremonial Necklace of Casting,6,2025-05-07 07:33 AM,"Coeurl, Diabolos, Mateus, Zalera, Famfrit, Siren"
Ceremonial Sainti,6,2025-05-07 07:31 AM,"Diabolos, Mateus, Jenova, Behemoth, Famfrit, Siren"
Ceviche,6,2025-05-07 07:37 AM,"Balmung, Malboro, Mateus, Hyperion, Excalibur, Sargatanas"
Chondrite Ingot,6,2025-05-07 07:36 AM,"Coeurl, Hyperion, Famfrit, Excalibur, Siren, Sargatanas"
Cloud Mica,6,2025-05-07 07:36 AM,"Coeurl, Diabolos, Malboro, Mateus, Jenova, Hyperion"
Cochineal Pigment,6,2025-05-07 07:30 AM,"Diabolos, Malboro, Mateus, Ultros, Midgardsormr, Sargatanas"
Cordial,6,2025-05-07 07:33 AM,"Coeurl, Jenova, Hyperion, Gilgamesh, Behemoth, Sargatanas"
Dawnborne Aethersand,6,2025-05-07 07:31 AM,"Brynhildr, Goblin, Malboro, Mateus, Zalera, Behemoth"
Everseeker's Cross-pein Hammer,6,2025-05-07 07:37 AM,"Coeurl, Diabolos, Gilgamesh, Faerie, Famfrit, Siren"
Everseeker's Headgear of Crafting,6,2025-05-07 07:35 AM,"Coeurl, Diabolos, Zalera, Famfrit, Siren, Sargatanas"
Everseeker's Raising Hammer,6,2025-05-07 07:36 AM,"Brynhildr, Coeurl, Diabolos, Gilgamesh, Famfrit, Siren"
Everseeker's Top of Crafting,6,2025-05-07 07:32 AM,"Diabolos, Mateus, Zalera, Famfrit, Siren, Sargatanas"
Fire Crystal,6,2025-05-07 07:36 AM,"Goblin, Hyperion, Gilgamesh, Faerie, Adamantoise, Midgardsormr"
Gatherer's Guerdon Materia XII,6,2025-05-07 07:34 AM,"Goblin, Malboro, Faerie, Behemoth, Midgardsormr, Famfrit"
Ginseng Lumber,6,2025-05-07 07:36 AM,"Balmung, Diabolos, Zalera, Jenova, Faerie, Cactuar"
Hammerhead Crocodile Leather,6,2025-05-07 07:35 AM,"Balmung, Coeurl, Mateus, Zalera, Faerie, Midgardsormr"
Levinsilk,6,2025-05-07 07:35 AM,"Mateus, Zalera, Gilgamesh, Adamantoise, Behemoth, Sargatanas"
Mountain Chromite Ingot,6,2025-05-07 07:33 AM,"Brynhildr, Coeurl, Diabolos, Malboro, Excalibur, Sargatanas"
Mythrite Ore,6,2025-05-07 07:36 AM,"Coeurl, Diabolos, Goblin, Malboro, Jenova, Adamantoise"
Piety Materia XII,6,2025-05-07 07:32 AM,"Brynhildr, Diabolos, Malboro, Zalera, Faerie, Exodus"
Pink Beryl,6,2025-05-07 07:35 AM,"Diabolos, Goblin, Malboro, Gilgamesh, Excalibur, Sargatanas"
Raw Pink Beryl,6,2025-05-07 07:36 AM,"Goblin, Zalera, Gilgamesh, Adamantoise, Behemoth, Sargatanas"
Rose Gold Nugget,6,2025-05-07 07:34 AM,"Brynhildr, Coeurl, Goblin, Mateus, Behemoth, Sargatanas"
Royal Hound,6,2025-05-07 07:32 AM,"Brynhildr, Diabolos, Hyperion, Faerie, Excalibur, Siren"
Sungilt Aethersand,6,2025-05-07 07:36 AM,"Diabolos, Malboro, Gilgamesh, Adamantoise, Excalibur, Sargatanas"
Tebqeyiq Smelt,6,2025-05-07 07:28 AM,"Leviathan, Hyperion, Ultros, Exodus, Behemoth, Excalibur"
Titanium Gold Nugget,6,2025-05-07 07:28 AM,"Goblin, Malboro, Zalera, Lamia, Hyperion, Midgardsormr"
Verdant Partition,6,2025-05-07 07:32 AM,"Mateus, Lamia, Hyperion, Exodus, Midgardsormr, Excalibur"
Yak T'el Spring Water,6,2025-05-07 07:30 AM,"Diabolos, Malboro, Zalera, Jenova, Gilgamesh, Midgardsormr"
Black Star Bracelets of Crafting,5,2025-05-07 07:36 AM,"Goblin, Zalera, Hyperion, Gilgamesh, Siren"
Black Star Ring of Crafting,5,2025-05-07 07:34 AM,"Goblin, Zalera, Hyperion, Gilgamesh, Siren"
Blackseed Cotton Boll,5,2025-05-07 07:31 AM,"Malboro, Mateus, Jenova, Faerie, Siren"
Br'aax Leather,5,2025-05-07 07:27 AM,"Coeurl, Zalera, Lamia, Cactuar, Excalibur"
Ceremonial Armguards of Striking,5,2025-05-07 07:34 AM,"Diabolos, Mateus, Jenova, Famfrit, Siren"
Ceremonial Bangle of Slaying,5,2025-05-07 07:35 AM,"Diabolos, Mateus, Jenova, Famfrit, Siren"
Ceremonial Bardiche,5,2025-05-07 07:33 AM,"Diabolos, Mateus, Behemoth, Famfrit, Siren"
Ceremonial Codex,5,2025-05-07 07:34 AM,"Balmung, Diabolos, Mateus, Famfrit, Siren"
Ceremonial Corselet of Fending,5,2025-05-07 07:33 AM,"Mateus, Zalera, Ultros, Famfrit, Siren"
Ceremonial Corselet of Maiming,5,2025-05-07 07:32 AM,"Balmung, Diabolos, Mateus, Famfrit, Siren"
Ceremonial Hose of Casting,5,2025-05-07 07:35 AM,"Coeurl, Mateus, Gilgamesh, Famfrit, Siren"
Ceremonial Hose of Maiming,5,2025-05-07 07:34 AM,"Balmung, Diabolos, Mateus, Famfrit, Siren"
Ceremonial Longcap of Maiming,5,2025-05-07 07:33 AM,"Balmung, Zalera, Behemoth, Famfrit, Siren"
Ceremonial Longcap of Scouting,5,2025-05-07 07:33 AM,"Diabolos, Mateus, Midgardsormr, Famfrit, Siren"
Ceremonial Pendulums,5,2025-05-07 07:33 AM,"Diabolos, Mateus, Gilgamesh, Famfrit, Siren"
Ceremonial Ring of Slaying,5,2025-05-07 07:32 AM,"Diabolos, Jenova, Gilgamesh, Famfrit, Siren"
Ceremonial Thighboots of Healing,5,2025-05-07 07:34 AM,"Diabolos, Ultros, Midgardsormr, Famfrit, Siren"
Ceremonial Torquetum,5,2025-05-07 07:32 AM,"Diabolos, Mateus, Hyperion, Famfrit, Siren"
Ceremonial Tulwar,5,2025-05-07 07:31 AM,"Diabolos, Mateus, Ultros, Famfrit, Siren"
Ceremonial Tunic of Casting,5,2025-05-07 07:31 AM,"Coeurl, Diabolos, Mateus, Famfrit, Siren"
Ceremonial Tunic of Healing,5,2025-05-07 07:32 AM,"Diabolos, Hyperion, Famfrit, Excalibur, Siren"
Ceremonial Vest of Striking,5,2025-05-07 07:33 AM,"Diabolos, Mateus, Jenova, Famfrit, Siren"
Ceremonial War Scythe,5,2025-05-07 07:31 AM,"Diabolos, Mateus, Cactuar, Famfrit, Siren"
Cloud Mica Whetstone,5,2025-05-07 07:37 AM,"Jenova, Faerie, Behemoth, Midgardsormr, Sargatanas"
Condensed Solution,5,2025-05-07 07:34 AM,"Brynhildr, Hyperion, Gilgamesh, Exodus, Excalibur"
Cronopio Leather,5,2025-05-07 07:35 AM,"Goblin, Malboro, Leviathan, Gilgamesh, Adamantoise"
Diatryma Felt,5,2025-05-07 07:35 AM,"Diabolos, Goblin, Malboro, Mateus, Sargatanas"
Everseeker's Armguards of Crafting,5,2025-05-07 07:32 AM,"Diabolos, Zalera, Famfrit, Siren, Sargatanas"
Everseeker's Creasing Knife,5,2025-05-07 07:36 AM,"Diabolos, Zalera, Gilgamesh, Famfrit, Siren"
Everseeker's Hatchet,5,2025-05-07 07:34 AM,"Zalera, Jenova, Gilgamesh, Famfrit, Siren"
Everseeker's Pliers,5,2025-05-07 07:32 AM,"Brynhildr, Coeurl, Diabolos, Famfrit, Siren"
Figmental Weapon Coffer,5,2025-05-07 07:35 AM,"Balmung, Leviathan, Hyperion, Behemoth, Excalibur"
Find the Princess (Dawntrail) Orchestrion Roll,5,2025-05-07 07:35 AM,"Brynhildr, Goblin, Mateus, Gilgamesh, Cactuar"
Fun and Games Orchestrion Roll,5,2025-05-07 07:34 AM,"Coeurl, Leviathan, Gilgamesh, Cactuar, Sargatanas"
Gargantua Hide,5,2025-05-07 07:36 AM,"Malboro, Gilgamesh, Midgardsormr, Famfrit, Sargatanas"
Gatherer's Grasp Materia XI,5,2025-05-07 07:36 AM,"Goblin, Malboro, Mateus, Lamia, Ultros"
Gatherer's Guerdon Materia XI,5,2025-05-07 07:36 AM,"Malboro, Mateus, Zalera, Jenova, Faerie"
General-purpose Jet Black Dye,5,2025-05-07 07:36 AM,"Zalera, Leviathan, Faerie, Behemoth, Midgardsormr"
General-purpose Pure White Dye,5,2025-05-07 07:31 AM,"Goblin, Zalera, Leviathan, Faerie, Behemoth"
Ginseng Log,5,2025-05-07 07:36 AM,"Malboro, Jenova, Ultros, Midgardsormr, Cactuar"
Grade 3 Gemdraught of Mind,5,2025-05-07 07:34 AM,"Diabolos, Jenova, Faerie, Midgardsormr, Excalibur"
Koppranickel Nugget,5,2025-05-07 07:30 AM,"Brynhildr, Balmung, Coeurl, Jenova, Faerie"
Manganese Ingot,5,2025-05-07 07:33 AM,"Balmung, Behemoth, Excalibur, Siren, Sargatanas"
Maraging Steel Ingot,5,2025-05-07 07:34 AM,"Balmung, Gilgamesh, Adamantoise, Exodus, Sargatanas"
Modern Aesthetics - A Half Times Two,5,2025-05-07 07:34 AM,"Malboro, Mateus, Lamia, Gilgamesh, Faerie"
Moqueca,5,2025-05-07 07:32 AM,"Goblin, Mateus, Gilgamesh, Cactuar, Sargatanas"
Mountain Chromite Ore,5,2025-05-07 07:35 AM,"Balmung, Goblin, Hyperion, Ultros, Siren"
Neon Street Blouson,5,2025-05-07 07:17 AM,"Malboro, Jenova, Hyperion, Gilgamesh, Excalibur"
Quicktongue Materia XII,5,2025-05-07 07:33 AM,"Brynhildr, Goblin, Malboro, Exodus, Siren"
Ramie Thread,5,2025-05-07 07:32 AM,"Balmung, Lamia, Jenova, Faerie, Midgardsormr"
Rhodochrosite,5,2025-05-07 07:35 AM,"Diabolos, Malboro, Gilgamesh, Adamantoise, Sargatanas"
Shaaloani Coffee,5,2025-05-07 07:34 AM,"Balmung, Diabolos, Malboro, Mateus, Adamantoise"
Stuffed Peppers,5,2025-05-07 07:31 AM,"Brynhildr, Malboro, Ultros, Cactuar, Excalibur"
Thavnairian Onion,5,2025-05-07 07:31 AM,"Diabolos, Lamia, Leviathan, Hyperion, Ultros"
Unleashed Orchestrion Roll,5,2025-05-07 07:31 AM,"Coeurl, Diabolos, Zalera, Famfrit, Sargatanas"
White Gold Ingot,5,2025-05-07 07:36 AM,"Diabolos, Mateus, Zalera, Hyperion, Adamantoise"
White Gold Ore,5,2025-05-07 07:34 AM,"Zalera, Hyperion, Gilgamesh, Exodus, Cactuar"
White Pepper,5,2025-05-07 07:33 AM,"Goblin, Zalera, Jenova, Gilgamesh, Faerie"
Airbright Coolant,4,2025-05-07 07:35 AM,"Mateus, Exodus, Cactuar, Excalibur"
Aldgoat Leather,4,2025-05-07 07:36 AM,"Brynhildr, Coeurl, Goblin, Cactuar"
Allagan Terminal Alpha,4,2025-05-07 07:32 AM,"Gilgamesh, Midgardsormr, Adamantoise, Cactuar"
Almasty Serge,4,2025-05-07 07:30 AM,"Malboro, Zalera, Famfrit, Excalibur"
Amphiptere Leather,4,2025-05-07 07:35 AM,"Goblin, Faerie, Adamantoise, Excalibur"
Annite Whetstone,4,2025-05-07 07:34 AM,"Coeurl, Diabolos, Lamia, Excalibur"
Approved Grade 4 Skybuilders' Electrum Ore,4,2025-05-07 07:35 AM,"Faerie, Jenova, Famfrit, Midgardsormr"
Approved Grade 4 Skybuilders' Umbral Galewood Branch,4,2025-05-07 07:29 AM,"Brynhildr, Balmung, Behemoth, Hyperion"
Approved Grade 4 Skybuilders' Umbral Levinsand,4,2025-05-07 07:35 AM,"Brynhildr, Leviathan, Behemoth, Famfrit"
Black Star Scarf of Crafting,4,2025-05-07 07:32 AM,"Diabolos, Zalera, Siren, Hyperion"
Blackseed Cotton Cloth,4,2025-05-07 07:36 AM,"Goblin, Mateus, Lamia, Exodus"
Bouncer's Holster Vest,4,2025-05-07 07:34 AM,"Malboro, Mateus, Hyperion, Excalibur"
Bouncer's Slacks,4,2025-05-07 07:22 AM,"Balmung, Malboro, Mateus, Hyperion"
Bouncer's Vest,4,2025-05-07 07:35 AM,"Balmung, Malboro, Mateus, Adamantoise"
Bronze Ingot,4,2025-05-07 07:36 AM,"Coeurl, Goblin, Behemoth, Cactuar"
Ceremonial Bangle of Healing,4,2025-05-07 07:33 AM,"Balmung, Diabolos, Siren, Famfrit"
Ceremonial Cleavers,4,2025-05-07 07:34 AM,"Diabolos, Mateus, Siren, Famfrit"
Ceremonial Crakows of Striking,4,2025-05-07 07:34 AM,"Mateus, Jenova, Famfrit, Siren"
Ceremonial Culverin,4,2025-05-07 07:32 AM,"Diabolos, Mateus, Siren, Famfrit"
Ceremonial Earring of Casting,4,2025-05-07 07:35 AM,"Diabolos, Mateus, Siren, Famfrit"
Ceremonial Earring of Fending,4,2025-05-07 07:35 AM,"Mateus, Siren, Famfrit, Ultros"
Ceremonial Earring of Healing,4,2025-05-07 07:34 AM,"Balmung, Diabolos, Siren, Famfrit"
Ceremonial Gloves of Casting,4,2025-05-07 07:33 AM,"Coeurl, Mateus, Siren, Famfrit"
Ceremonial Gloves of Healing,4,2025-05-07 07:34 AM,"Brynhildr, Siren, Famfrit, Excalibur"
Ceremonial Greaves of Fending,4,2025-05-07 07:34 AM,"Midgardsormr, Siren, Famfrit, Ultros"
Ceremonial Greaves of Maiming,4,2025-05-07 07:34 AM,"Balmung, Mateus, Siren, Famfrit"
Ceremonial Grimoire,4,2025-05-07 07:34 AM,"Coeurl, Mateus, Siren, Famfrit"
Ceremonial Hood of Healing,4,2025-05-07 07:33 AM,"Brynhildr, Cactuar, Excalibur, Famfrit"
Ceremonial Hose of Healing,4,2025-05-07 07:32 AM,"Diabolos, Mateus, Famfrit, Hyperion"
Ceremonial Longcap of Striking,4,2025-05-07 07:34 AM,"Diabolos, Jenova, Famfrit, Siren"
Ceremonial Longpole,4,2025-05-07 07:35 AM,"Coeurl, Diabolos, Siren, Famfrit"
Ceremonial Necklace of Aiming,4,2025-05-07 07:34 AM,"Diabolos, Mateus, Siren, Famfrit"
Ceremonial Necklace of Healing,4,2025-05-07 07:33 AM,"Balmung, Diabolos, Siren, Famfrit"
Ceremonial Ring of Aiming,4,2025-05-07 07:32 AM,"Diabolos, Goblin, Siren, Famfrit"
Ceremonial Ring of Healing,4,2025-05-07 07:33 AM,"Balmung, Diabolos, Siren, Famfrit"
Ceremonial Saberfangs,4,2025-05-07 07:32 AM,"Diabolos, Mateus, Siren, Famfrit"
Ceremonial Smallsword,4,2025-05-07 07:31 AM,"Diabolos, Mateus, Siren, Famfrit"
Ceremonial Thighboots of Casting,4,2025-05-07 07:34 AM,"Mateus, Midgardsormr, Siren, Famfrit"
Ceremonial Vambraces of Maiming,4,2025-05-07 07:32 AM,"Balmung, Mateus, Siren, Famfrit"
Ceremonial Wand,4,2025-05-07 07:32 AM,"Balmung, Mateus, Siren, Famfrit"
Cherry Pink Dye,4,2025-05-07 07:33 AM,"Goblin, Midgardsormr, Adamantoise, Ultros"
Cobalt Tungsten Ingot,4,2025-05-07 07:28 AM,"Coeurl, Zalera, Midgardsormr, Excalibur"
Cobalt Tungsten Ore,4,2025-05-07 07:34 AM,"Ultros, Cactuar, Hyperion, Sargatanas"
Cordia Lumber,4,2025-05-07 07:28 AM,"Diabolos, Goblin, Midgardsormr, Sargatanas"
Crafter's Delineation,4,2025-05-07 07:33 AM,"Famfrit, Jenova, Behemoth, Exodus"
Craftsman's Cunning Materia IX,4,2025-05-07 07:30 AM,"Brynhildr, Malboro, Leviathan, Jenova"
Craftsman's Cunning Materia XII,4,2025-05-07 07:33 AM,"Gilgamesh, Faerie, Exodus, Cactuar"
Crown Fish,4,2025-05-07 07:28 AM,"Siren, Behemoth, Excalibur, Exodus"
Crystal of Divine Light,4,2025-05-07 07:30 AM,"Coeurl, Diabolos, Gilgamesh, Leviathan"
Dark Chestnut Branch,4,2025-05-07 07:34 AM,"Diabolos, Zalera, Gilgamesh, Hyperion"
Dark Hempen Cloth,4,2025-05-07 07:36 AM,"Goblin, Malboro, Zalera, Cactuar"
Dark Matter Cluster,4,2025-05-07 07:37 AM,"Balmung, Diabolos, Mateus, Lamia"
Dark Rye,4,2025-05-07 07:33 AM,"Coeurl, Goblin, Zalera, Cactuar"
Dark Rye Flour,4,2025-05-07 07:30 AM,"Coeurl, Goblin, Zalera, Gilgamesh"
Everseeker's Alembic,4,2025-05-07 07:36 AM,"Diabolos, Siren, Famfrit, Hyperion"
Everseeker's File,4,2025-05-07 07:36 AM,"Diabolos, Gilgamesh, Siren, Famfrit"
Everseeker's Fishing Rod,4,2025-05-07 07:36 AM,"Coeurl, Gilgamesh, Siren, Famfrit"
Everseeker's Lapidary Hammer,4,2025-05-07 07:36 AM,"Diabolos, Gilgamesh, Siren, Famfrit"
Everseeker's Mortar,4,2025-05-07 07:33 AM,"Diabolos, Zalera, Famfrit, Hyperion"
Everseeker's Needle,4,2025-05-07 07:33 AM,"Diabolos, Siren, Famfrit, Hyperion"
Everseeker's Pickaxe,4,2025-05-07 07:34 AM,"Zalera, Gilgamesh, Siren, Famfrit"
Everseeker's Slops of Crafting,4,2025-05-07 07:32 AM,"Diabolos, Siren, Famfrit, Sargatanas"
Everseeker's Workboots of Crafting,4,2025-05-07 07:32 AM,"Diabolos, Siren, Famfrit, Sargatanas"
Fallen Angel Wings,4,2025-05-07 07:22 AM,"Gilgamesh, Faerie, Sargatanas, Leviathan"
Flexible Leather Band,4,2025-05-07 07:32 AM,"Coeurl, Diabolos, Midgardsormr, Hyperion"
Gabriel Mark III Identification Key,4,2025-05-07 07:36 AM,"Leviathan, Adamantoise, Jenova, Sargatanas"
Gatherer's Guile Materia IX,4,2025-05-07 07:30 AM,"Brynhildr, Malboro, Zalera, Midgardsormr"
Gazelle Leather,4,2025-05-07 07:35 AM,"Coeurl, Goblin, Cactuar, Ultros"
General-purpose Dark Blue Dye,4,2025-05-07 07:31 AM,"Balmung, Leviathan, Jenova, Behemoth"
General-purpose Pastel Pink Dye,4,2025-05-07 07:34 AM,"Goblin, Lamia, Excalibur, Sargatanas"
General-purpose Pastel Purple Dye,4,2025-05-07 07:31 AM,"Brynhildr, Lamia, Behemoth, Hyperion"
Glazenut,4,2025-05-07 07:31 AM,"Balmung, Lamia, Jenova, Excalibur"
Gomphotherium Skin,4,2025-05-07 07:36 AM,"Goblin, Malboro, Exodus, Famfrit"
Grade 1 Gemdraught of Vitality,4,2025-05-07 07:29 AM,"Coeurl, Goblin, Exodus, Famfrit"
Grade 1 Gemsap of Strength,4,2025-05-07 07:27 AM,"Coeurl, Goblin, Gilgamesh, Ultros"
Grade 1 Gemsap of Vitality,4,2025-05-07 07:33 AM,"Goblin, Malboro, Jenova, Excalibur"
Grade 3 Gemsap of Mind,4,2025-05-07 07:35 AM,"Coeurl, Mateus, Adamantoise, Cactuar"
Growth Formula Lambda,4,2025-05-07 07:34 AM,"Zalera, Faerie, Cactuar, Hyperion"
Hallowed Chestnut Lumber,4,2025-05-07 07:36 AM,"Goblin, Faerie, Behemoth, Leviathan"
High Steel Nugget,4,2025-05-07 07:26 AM,"Brynhildr, Balmung, Behemoth, Excalibur"
Hyper-potion,4,2025-05-07 07:33 AM,"Diabolos, Mateus, Adamantoise, Jenova"
In Dawn's Embrace Orchestrion Roll,4,2025-05-07 07:34 AM,"Coeurl, Gilgamesh, Leviathan, Sargatanas"
